vehicle_id,cust_id,driver_id,trip_id,trip_date,start_point,end_point,miles,trip_status,promotion_id
VH00002,4261927,DR00002,62948328835,9/6/2024,Illinois,District of Columbia,16.04,Completed,N/A
VH00001,4582639,DR00001,28213425978,9/23/2024,Texas,Pennsylvania,36.61,Completed,PRMKMR
VH00004,3522571,DR00004,52362677928,9/1/2024,Washington,District of Columbia,16.51,Completed,PRKMNU
VH00001,6726151,DR00001,78465147452,9/7/2024,Maryland,Arkansas,32.47,Completed,NEWUSR
VH00001,9384899,DR00001,38231213419,9/29/2024,Illinois,Georgia,17.57,Completed,PRMKMR
VH00014,2348511,DR00014,56684235661,9/29/2024,Iowa,California,19.87,Completed,LKHISD
VH00018,9288556,DR00018,53331528136,9/29/2024,Virginia,Indiana,23.76,Completed,MNUKMR
VH00001,4451491,DR00001,31194633615,9/9/2024,Colorado,Nebraska,29.79,Completed,MKSMPK
VH00010,8984439,DR00010,67891386836,9/2/2024,Florida,Georgia,25.01,Completed,NEWUSR
VH00007,7924817,DR00007,12621455321,9/10/2024,Missouri,Missouri,31.93,Completed,MNUKMR
VH00014,8291398,DR00014,41993834573,9/18/2024,Nevada,Illinois,35.33,Completed,MKSMPK
VH00018,8632388,DR00018,51141172944,9/29/2024,Washington,Louisiana,33.69,Completed,MKSMPK
VH00016,3348879,DR00016,21186348645,9/7/2024,New York,Texas,16.79,Completed,PRMKMR
VH00011,5662992,DR00011,92239629388,9/21/2024,California,Florida,26.24,Trip Failed,RVKMRG
VH00015,5325756,DR00015,17271116583,9/27/2024,Colorado,District of Columbia,14.7,Completed,PRMKMR
VH00018,6566166,DR00018,84114757781,9/21/2024,Iowa,Michigan,31.09,Completed,MKSMPK
VH00014,2221516,DR00014,68816251592,9/13/2024,Texas,Minnesota,14.99,Completed,NEWUSR
VH00005,2659829,DR00005,55174241924,9/5/2024,Florida,Indiana,20.42,Completed,MNUKMR
VH00015,8728611,DR00015,83751891226,9/27/2024,Florida,Colorado,32.63,Completed,NEWUSR
VH00014,9825219,DR00014,66316187218,9/27/2024,Virginia,Texas,28.88,Completed,PRMKMR
VH00014,3215548,DR00014,94941234446,9/8/2024,Florida,Illinois,11.05,Completed,MNUKMR
VH00003,9278452,DR00003,39751181633,9/20/2024,North Carolina,Kansas,10.29,Completed,LKHISD
VH00002,2788434,DR00002,79523983262,9/13/2024,Louisiana,Illinois,17.73,Completed,MKSMPK
VH00007,1195255,DR00007,32896289394,9/23/2024,Louisiana,Michigan,27.7,Completed,LKHISD
VH00007,1432217,DR00007,46218282892,9/9/2024,Ohio,Florida,33.73,Completed,NEWUSR
VH00014,8159189,DR00014,14477824848,9/13/2024,Texas,Texas,21.78,Trip Failed,PRMKMR
VH00008,1372618,DR00008,55299359635,9/3/2024,Texas,Florida,35.35,Completed,N/A
VH00007,6117636,DR00007,39594861832,9/17/2024,Texas,New York,38.2,Completed,PRKMNU
VH00001,6669184,DR00001,36982342949,9/12/2024,Virginia,Texas,36.26,Completed,PRMKMR
VH00009,4888884,DR00009,37617377741,9/7/2024,Iowa,Massachusetts,39.45,Completed,PRKMNU
VH00006,9443147,DR00006,38665577372,9/8/2024,Utah,Texas,14.1,Completed,MNUKMR
VH00007,3147419,DR00007,66857596185,9/13/2024,Mississippi,Florida,37.09,Trip Failed,PRMKMR
VH00009,5918637,DR00009,52433324388,9/11/2024,Pennsylvania,Ohio,10.53,Completed,PRMKMR
VH00007,7494922,DR00007,46694664818,9/14/2024,California,New Jersey,27.2,Completed,N/A
VH00018,1552194,DR00018,84456142237,9/29/2024,Virginia,Arizona,38.05,Trip Failed,RVKMRG
VH00014,8751749,DR00014,65183484521,9/26/2024,Florida,North Carolina,28.8,Completed,LKHISD
VH00005,5363754,DR00005,55246218652,9/14/2024,Missouri,South Dakota,29.56,Trip Failed,RVKMRG
VH00005,6748165,DR00005,14739117426,9/5/2024,Kansas,Kentucky,18.58,Completed,PRMKMR
VH00013,9137277,DR00013,72493269996,9/14/2024,Texas,Minnesota,33.4,Completed,N/A
VH00020,3791264,DR00020,93399225686,9/29/2024,Arizona,Texas,28.49,Completed,PRMKMR
VH00015,8366675,DR00015,49529951135,9/2/2024,Maryland,Florida,34.95,Completed,MKSMPK
VH00009,5864867,DR00009,22549395932,9/17/2024,California,New York,35.79,Completed,N/A
VH00005,2361221,DR00005,75594183354,9/27/2024,Florida,Utah,24.66,Completed,MKSMPK
VH00014,7513537,DR00014,45263878343,9/4/2024,Florida,Indiana,20.26,Completed,PRMKMR
VH00012,1983657,DR00012,14536683358,9/20/2024,Tennessee,Florida,14.44,Completed,MNUKMR
VH00005,3188741,DR00005,93357316874,9/4/2024,Florida,Pennsylvania,26.68,Completed,MNUKMR
VH00001,1116929,DR00001,37215934919,9/26/2024,Virginia,New York,29.02,Completed,MKSMPK
VH00016,2258638,DR00016,78817241615,9/23/2024,Florida,Georgia,16.84,Completed,PRMKMR
VH00018,3979752,DR00018,96278599318,9/18/2024,Wisconsin,New York,29.37,Completed,PRKMNU
VH00003,4757677,DR00003,48465359921,9/1/2024,Maryland,Iowa,18.74,Completed,MNUKMR
VH00017,9335798,DR00017,79265585135,9/14/2024,Pennsylvania,Texas,37.48,Completed,PRMKMR
VH00012,3864696,DR00012,69431452954,9/7/2024,Kentucky,Florida,34.75,Completed,MKSMPK
VH00017,9724964,DR00017,24589275248,9/13/2024,Kansas,Iowa,17.85,Completed,PRMKMR
VH00007,7667953,DR00007,61893922971,9/17/2024,Arkansas,Iowa,37.42,Completed,RVKMRG
VH00015,8795914,DR00015,96573314226,9/8/2024,California,New York,21.92,Completed,N/A
VH00015,6569813,DR00015,82578563448,9/8/2024,Minnesota,Florida,14.58,Completed,LKHISD
VH00011,7593425,DR00011,57447785594,9/21/2024,Texas,Oklahoma,29.7,Completed,N/A
VH00020,3648677,DR00020,86523197642,9/22/2024,Arizona,Florida,31.45,Completed,N/A
VH00015,5767214,DR00015,99671544686,9/6/2024,Texas,Texas,22.83,Completed,PRMKMR
VH00008,6147165,DR00008,88371434368,9/7/2024,New York,New Jersey,37.86,Completed,RVKMRG
VH00002,1376368,DR00002,11548416134,9/22/2024,Kentucky,Georgia,39.8,Completed,N/A
VH00008,1774131,DR00008,49333758612,9/28/2024,California,Texas,23.79,Completed,N/A
VH00007,9595735,DR00007,53981476317,9/17/2024,Virginia,New Mexico,14.14,Completed,MNUKMR
VH00015,6741695,DR00015,46699181972,9/26/2024,California,Connecticut,25.87,Completed,PRKMNU
VH00018,8568486,DR00018,22847715584,9/5/2024,California,Texas,25.71,Completed,N/A
VH00007,6673244,DR00007,95462322895,9/6/2024,Washington,Missouri,24.47,Completed,MNUKMR
VH00018,4933228,DR00018,83995577811,9/21/2024,New York,Michigan,32.88,Completed,PRKMNU
VH00005,7862154,DR00005,28684254312,9/12/2024,California,Missouri,24.02,Completed,RVKMRG
VH00007,4813378,DR00007,44132684239,9/26/2024,Florida,Washington,10.52,Completed,MKSMPK
VH00020,2952176,DR00020,18725744688,9/2/2024,Missouri,Indiana,17.26,Completed,LKHISD
VH00007,3368364,DR00007,23797186157,9/12/2024,Florida,Florida,24.24,Completed,N/A
VH00017,4953987,DR00017,51492438134,9/22/2024,Pennsylvania,North Carolina,31.5,Completed,RVKMRG
VH00010,6328927,DR00010,75663716623,9/16/2024,Florida,Florida,15.85,Completed,MNUKMR
VH00015,1789232,DR00015,65673278188,9/7/2024,Missouri,North Carolina,32.49,Completed,MNUKMR
VH00002,3542669,DR00002,87565178633,9/22/2024,Connecticut,Wisconsin,10.08,Completed,NEWUSR
VH00005,3158597,DR00005,53292748743,9/1/2024,Georgia,Nebraska,39.95,Completed,RVKMRG
VH00008,1834371,DR00008,25198781924,9/6/2024,Virginia,Texas,24.3,Completed,NEWUSR
VH00010,7198595,DR00010,71742748618,9/12/2024,California,Pennsylvania,28.73,Completed,N/A
VH00009,4593114,DR00009,14111722773,9/12/2024,California,Missouri,19.5,Completed,MNUKMR
VH00017,2913929,DR00017,71774628251,9/3/2024,Arizona,Kansas,14.79,Completed,MKSMPK
VH00011,6265267,DR00011,99251455663,9/10/2024,California,Illinois,30.03,Completed,RVKMRG
VH00009,7843755,DR00009,78457112817,9/16/2024,Michigan,Ohio,30.91,Completed,MKSMPK
VH00003,9138636,DR00003,52169683395,9/9/2024,Louisiana,Florida,24.89,Completed,PRKMNU
VH00005,5758935,DR00005,97712588118,9/7/2024,Iowa,District of Columbia,20.37,Completed,PRKMNU
VH00012,6891426,DR00012,59914811689,9/22/2024,Ohio,North Carolina,36.03,Completed,LKHISD
VH00018,1932442,DR00018,65865333716,9/20/2024,Texas,Wisconsin,32.04,Completed,N/A
VH00014,1758735,DR00014,17215668743,9/27/2024,Florida,New York,39.94,Completed,RVKMRG
VH00008,2587911,DR00008,58114261485,9/20/2024,Florida,Ohio,25.04,Completed,PRKMNU
VH00015,6514289,DR00015,37266749688,9/16/2024,Indiana,Texas,24.38,Trip Failed,PRKMNU
VH00015,8263487,DR00015,68444512833,9/5/2024,Texas,Florida,16.28,Completed,RVKMRG
VH00016,9188843,DR00016,44499586532,9/23/2024,Florida,Georgia,36.51,Completed,MNUKMR
VH00019,5826776,DR00019,14547586274,9/7/2024,Nevada,Texas,10.27,Completed,PRMKMR
VH00012,3567765,DR00012,52574824855,9/12/2024,Alabama,Nevada,38.93,Completed,MNUKMR
VH00007,7213881,DR00007,88454968282,9/8/2024,Florida,Georgia,34.24,Completed,MNUKMR
VH00018,9675423,DR00018,55968178795,9/21/2024,Missouri,New York,37.92,Completed,MNUKMR
VH00007,3122969,DR00007,91831468656,9/14/2024,Oklahoma,Illinois,39.86,Completed,N/A
VH00007,2799479,DR00007,52957572238,9/18/2024,Louisiana,Ohio,37.6,Completed,NEWUSR
VH00011,9381635,DR00011,98844445462,9/4/2024,North Carolina,Florida,11.64,Completed,NEWUSR
VH00020,3794198,DR00020,18816117653,9/27/2024,Florida,Maryland,22.7,Completed,NEWUSR
VH00013,9291548,DR00013,42391956136,9/28/2024,Florida,Texas,29.07,Completed,NEWUSR
VH00011,2619748,DR00011,58117915226,9/9/2024,Utah,New York,34.22,Trip Failed,RVKMRG
VH00003,7637497,DR00003,25618543769,9/17/2024,Texas,West Virginia,20.65,Completed,RVKMRG
VH00008,8198419,DR00008,61452528457,9/16/2024,California,Colorado,25.34,Completed,PRMKMR
VH00002,9164126,DR00002,23912947449,9/11/2024,North Carolina,Nevada,33.15,Completed,PRMKMR
VH00003,7163637,DR00003,81217858965,9/10/2024,New York,North Carolina,35.3,Completed,RVKMRG
VH00018,1514857,DR00018,22145267132,9/12/2024,California,Illinois,22.41,Completed,RVKMRG
VH00004,1855142,DR00004,68867636556,9/6/2024,Florida,California,16.35,Completed,MKSMPK
VH00004,5439182,DR00004,82936987827,9/27/2024,Florida,Ohio,36.21,Completed,LKHISD
VH00019,9616823,DR00019,91185143723,9/19/2024,Texas,Colorado,35,Completed,NEWUSR
VH00019,5243448,DR00019,95555752685,9/7/2024,California,Pennsylvania,34.44,Completed,RVKMRG
VH00015,6637957,DR00015,68384819145,9/2/2024,Texas,New York,27.9,Completed,N/A
VH00020,3597929,DR00020,85271277577,9/23/2024,Florida,Colorado,11.44,Completed,LKHISD
VH00017,4132934,DR00017,61563138242,9/7/2024,Florida,Ohio,38.23,Trip Failed,LKHISD
VH00016,4727346,DR00016,76713226997,9/1/2024,Nevada,North Carolina,17.85,Completed,PRKMNU
VH00006,5741713,DR00006,23937651427,9/15/2024,Virginia,Kansas,22.6,Completed,NEWUSR
VH00008,6642982,DR00008,45554649619,9/26/2024,Utah,Texas,39.74,Completed,N/A
VH00001,2935474,DR00001,42676486617,9/4/2024,New York,Alabama,38.19,Trip Failed,PRMKMR
VH00010,1238274,DR00010,56528239829,9/29/2024,Washington,Nebraska,26.41,Completed,PRMKMR
VH00003,6666583,DR00003,97939172441,9/25/2024,Georgia,Colorado,16.5,Completed,MNUKMR
VH00014,9982982,DR00014,74423736781,9/4/2024,California,Texas,39.95,Completed,NEWUSR
VH00006,6313146,DR00006,58766376791,9/20/2024,Texas,New York,15.3,Completed,LKHISD
VH00004,2358713,DR00004,95325355497,9/26/2024,Pennsylvania,Louisiana,33.9,Trip Failed,RVKMRG
VH00019,3718483,DR00019,54392458458,9/21/2024,California,Texas,35.48,Completed,MNUKMR
VH00019,6492265,DR00019,79233354991,9/19/2024,New York,Virginia,38.05,Completed,NEWUSR
VH00011,2677522,DR00011,36684473479,9/11/2024,Texas,California,14.99,Completed,N/A
VH00007,7744114,DR00007,74981912143,9/24/2024,Virginia,North Carolina,24.45,Completed,PRKMNU
VH00018,7913558,DR00018,73263868319,9/18/2024,Indiana,Florida,32.75,Completed,NEWUSR
VH00012,8972383,DR00012,65887395945,9/21/2024,California,North Carolina,16.07,Completed,PRMKMR
VH00015,3568191,DR00015,67569215996,9/16/2024,Georgia,Alabama,14.47,Completed,MNUKMR
VH00020,5223593,DR00020,61745324185,9/9/2024,Washington,Florida,27.82,Completed,RVKMRG
VH00002,6248567,DR00002,85715593895,9/23/2024,Colorado,Colorado,39.42,Completed,MKSMPK
VH00001,7181648,DR00001,56673856915,9/11/2024,Texas,Michigan,11.9,Completed,N/A
VH00019,8144177,DR00019,89713372785,9/11/2024,California,Michigan,14.83,Completed,N/A
VH00015,4497616,DR00015,22644112792,9/26/2024,Georgia,California,31.2,Completed,LKHISD
VH00012,9967153,DR00012,14476562315,9/2/2024,Rhode Island,Mississippi,12.62,Trip Failed,PRMKMR
VH00012,8916779,DR00012,61566881562,9/16/2024,Iowa,New York,13.17,Completed,NEWUSR
VH00004,1633648,DR00004,47614955164,9/6/2024,New York,Kentucky,37.86,Completed,MKSMPK
VH00015,9846445,DR00015,57341567352,9/2/2024,Florida,Illinois,36.95,Completed,LKHISD
VH00006,2641328,DR00006,36996993534,9/20/2024,California,Indiana,29.45,Completed,PRKMNU
VH00019,8867228,DR00019,42954633449,9/29/2024,Louisiana,Illinois,39.04,Completed,MKSMPK
VH00015,4713197,DR00015,45196553831,9/6/2024,Texas,Massachusetts,35.47,Completed,PRKMNU
VH00006,8657472,DR00006,91382652165,9/18/2024,Virginia,California,29.14,Completed,NEWUSR
VH00020,5968779,DR00020,29623164927,9/26/2024,Tennessee,Montana,24.61,Completed,MKSMPK
VH00020,9818161,DR00020,12126775557,9/10/2024,Ohio,Wisconsin,16.38,Completed,LKHISD
VH00013,4146911,DR00013,32544996753,9/25/2024,Minnesota,Oregon,35.6,Completed,LKHISD
VH00005,3829953,DR00005,99473763114,9/20/2024,Pennsylvania,Ohio,39.94,Trip Failed,MNUKMR
VH00020,9339155,DR00020,77845192666,9/9/2024,New York,Florida,35.93,Completed,RVKMRG
VH00012,6155962,DR00012,75199255484,9/18/2024,Pennsylvania,New York,24.65,Completed,NEWUSR
VH00001,5148279,DR00001,26548366916,9/11/2024,Arizona,Michigan,19.93,Completed,N/A
VH00011,3274216,DR00011,99488573388,9/27/2024,Michigan,New York,20.74,Completed,RVKMRG
VH00016,5631559,DR00016,82466224285,9/10/2024,Tennessee,Washington,11.63,Completed,NEWUSR
VH00020,4667666,DR00020,85463592556,9/13/2024,Arizona,Texas,24.64,Completed,MNUKMR
VH00010,1949788,DR00010,23987392667,9/4/2024,South Dakota,Virginia,13.82,Completed,LKHISD
VH00009,5254514,DR00009,27486262575,9/28/2024,California,New York,31.05,Completed,MKSMPK
VH00007,4329632,DR00007,68935121588,9/5/2024,Texas,Massachusetts,10.47,Completed,MKSMPK
VH00019,1252516,DR00019,73941871299,9/19/2024,Pennsylvania,Texas,15.32,Completed,NEWUSR
VH00013,9127279,DR00013,47588965673,9/6/2024,Arkansas,Nebraska,25.01,Completed,RVKMRG
VH00009,4381712,DR00009,41994728737,9/9/2024,Wisconsin,Texas,39,Completed,RVKMRG
VH00002,5494698,DR00002,58273282273,9/2/2024,Ohio,Texas,33.31,Completed,PRMKMR
VH00018,6699226,DR00018,85398144896,9/25/2024,District of Columbia,Texas,35.86,Completed,MKSMPK
VH00004,3715435,DR00004,61676215295,9/22/2024,Texas,Ohio,10.37,Completed,NEWUSR
VH00017,1849397,DR00017,43633986465,9/9/2024,California,Nebraska,37.23,Completed,N/A
VH00005,4652271,DR00005,17829278633,9/14/2024,Alaska,Texas,12.34,Completed,PRKMNU
VH00012,5595669,DR00012,18958636825,9/25/2024,Ohio,South Carolina,25.85,Completed,MKSMPK
VH00018,9662737,DR00018,19264264787,9/29/2024,Wisconsin,New York,27.53,Completed,LKHISD
VH00004,2188124,DR00004,85781229979,9/17/2024,Ohio,California,11.8,Trip Failed,MKSMPK
VH00007,1198826,DR00007,62782938818,9/17/2024,Florida,Indiana,37.97,Completed,PRMKMR
VH00019,7112596,DR00019,97222962178,9/24/2024,Texas,California,29.58,Completed,PRMKMR
VH00011,7579111,DR00011,18764694429,9/26/2024,Maryland,Texas,18.81,Completed,N/A
VH00012,4151426,DR00012,21525462697,9/10/2024,Iowa,Missouri,18.5,Completed,PRKMNU
VH00020,3156188,DR00020,86414647928,9/12/2024,Minnesota,Washington,25.7,Completed,N/A
VH00003,1478894,DR00003,55978268662,9/9/2024,Florida,Texas,36.81,Completed,PRMKMR
